episode,reward,steps,success,epsilon,success_rate
1,0.781,34,1,0.1998,1.000
2,0.781,34,1,0.1996,1.000
3,0.775,35,1,0.1994,1.000
4,0.749,39,1,0.1992,1.000
5,0.717,44,1,0.1990,1.000
6,0.794,32,1,0.1988,1.000
7,0.775,35,1,0.1986,1.000
8,0.769,36,1,0.1984,1.000
9,0.788,33,1,0.1982,1.000
10,0.794,32,1,0.1980,1.000
11,0.769,36,1,0.1978,1.000
12,0.781,34,1,0.1976,1.000
13,0.820,28,1,0.1974,1.000
14,0.807,30,1,0.1972,1.000
15,0.756,38,1,0.1970,1.000
16,0.769,36,1,0.1968,1.000
17,0.756,38,1,0.1966,1.000
18,0.788,33,1,0.1964,1.000
19,0.743,40,1,0.1962,1.000
20,0.814,29,1,0.1960,1.000
21,0.781,34,1,0.1958,1.000
22,0.704,46,1,0.1956,1.000
23,0.756,38,1,0.1955,1.000
24,0.769,36,1,0.1953,1.000
25,0.769,36,1,0.1951,1.000
26,0.781,34,1,0.1949,1.000
27,0.769,36,1,0.1947,1.000
28,0.781,34,1,0.1945,1.000
29,0.781,34,1,0.1943,1.000
30,0.781,34,1,0.1941,1.000
31,0.762,37,1,0.1939,1.000
32,0.749,39,1,0.1937,1.000
33,0.775,35,1,0.1935,1.000
34,0.756,38,1,0.1933,1.000
35,0.762,37,1,0.1931,1.000
36,0.814,29,1,0.1929,1.000
37,0.775,35,1,0.1927,1.000
38,0.756,38,1,0.1925,1.000
39,0.749,39,1,0.1923,1.000
40,0.788,33,1,0.1922,1.000
41,0.794,32,1,0.1920,1.000
42,0.756,38,1,0.1918,1.000
43,0.814,29,1,0.1916,1.000
44,0.794,32,1,0.1914,1.000
45,0.826,27,1,0.1912,1.000
46,0.781,34,1,0.1910,1.000
47,0.756,38,1,0.1908,1.000
48,0.756,38,1,0.1906,1.000
49,0.807,30,1,0.1904,1.000
50,0.807,30,1,0.1902,1.000
51,0.756,38,1,0.1901,1.000
52,0.769,36,1,0.1899,1.000
53,0.769,36,1,0.1897,1.000
54,0.801,31,1,0.1895,1.000
55,0.769,36,1,0.1893,1.000
56,0.756,38,1,0.1891,1.000
57,0.756,38,1,0.1889,1.000
