episode,reward,steps,success,epsilon,success_rate,loss
1,0.000,80,0,1.0000,0.000,0.004867
2,0.000,80,0,0.9999,0.000,0.001001
3,0.000,80,0,0.9999,0.000,0.005803
4,0.000,80,0,0.9998,0.000,0.004442
5,0.000,80,0,0.9998,0.000,0.001093
6,0.000,80,0,0.9997,0.000,0.003375
7,0.000,80,0,0.9997,0.000,0.000717
8,0.000,80,0,0.9996,0.000,0.005776
9,0.000,80,0,0.9996,0.000,0.001637
10,0.000,80,0,0.9995,0.000,0.001700
11,0.000,80,0,0.9995,0.000,0.013295
12,0.000,80,0,0.9994,0.000,0.001226
13,0.000,80,0,0.9994,0.000,0.094148
14,0.000,80,0,0.9993,0.000,0.009897
15,0.000,80,0,0.9993,0.000,0.009986
16,0.000,80,0,0.9992,0.000,0.002419
17,0.000,80,0,0.9992,0.000,0.012743
18,0.000,80,0,0.9991,0.000,0.016344
19,0.000,80,0,0.9991,0.000,0.002992
20,0.000,80,0,0.9990,0.000,0.004985
21,0.000,80,0,0.9990,0.000,0.008002
22,0.000,80,0,0.9989,0.000,0.003639
23,0.000,80,0,0.9989,0.000,0.004284
24,0.000,80,0,0.9988,0.000,0.003561
25,0.000,80,0,0.9988,0.000,0.001952
26,0.000,80,0,0.9987,0.000,0.010203
27,0.000,80,0,0.9987,0.000,0.005057
28,0.000,80,0,0.9986,0.000,0.124627
29,0.000,80,0,0.9986,0.000,0.148294
30,0.000,80,0,0.9985,0.000,0.013716
31,0.000,80,0,0.9985,0.000,0.018899
32,0.000,80,0,0.9984,0.000,0.156249
33,0.000,80,0,0.9984,0.000,0.014140
34,0.000,80,0,0.9983,0.000,0.004750
35,0.000,80,0,0.9983,0.000,0.003594
36,0.000,80,0,0.9982,0.000,0.171001
37,0.000,80,0,0.9982,0.000,0.015940
38,0.000,80,0,0.9981,0.000,0.118820
39,0.000,80,0,0.9981,0.000,0.080649
40,0.000,80,0,0.9980,0.000,0.008449
41,0.000,80,0,0.9980,0.000,0.009673
42,0.000,80,0,0.9979,0.000,0.125978
43,0.000,80,0,0.9979,0.000,0.013492
44,0.000,80,0,0.9978,0.000,0.205874
45,0.000,80,0,0.9978,0.000,0.006309
46,0.000,80,0,0.9977,0.000,0.027087
47,0.000,80,0,0.9977,0.000,0.006644
48,0.000,80,0,0.9976,0.000,0.096331
49,0.000,80,0,0.9976,0.000,0.008838
50,0.000,80,0,0.9975,0.000,0.021603
51,0.000,80,0,0.9975,0.000,0.015443
52,0.000,80,0,0.9974,0.000,0.007979
53,0.000,80,0,0.9974,0.000,0.017821
54,0.000,80,0,0.9973,0.000,0.090669
55,0.000,80,0,0.9973,0.000,0.035479
56,0.000,80,0,0.9972,0.000,0.092725
57,0.000,80,0,0.9972,0.000,0.009809
58,0.000,80,0,0.9971,0.000,0.082601
59,0.000,80,0,0.9971,0.000,0.014833
60,0.000,80,0,0.9970,0.000,0.103909
61,0.000,80,0,0.9970,0.000,0.026101
62,0.000,80,0,0.9969,0.000,0.144159
63,0.000,80,0,0.9969,0.000,0.090041
64,0.000,80,0,0.9968,0.000,0.156732
65,0.000,80,0,0.9968,0.000,0.081252
66,0.000,80,0,0.9967,0.000,0.012045
67,0.000,80,0,0.9967,0.000,0.029180
68,0.000,80,0,0.9966,0.000,0.013045
69,0.000,80,0,0.9966,0.000,0.010277
70,0.000,80,0,0.9965,0.000,0.030626
71,0.000,80,0,0.9965,0.000,0.023925
72,0.000,80,0,0.9964,0.000,0.025001
73,0.000,80,0,0.9964,0.000,0.026490
74,0.000,80,0,0.9963,0.000,0.020472
75,0.000,80,0,0.9963,0.000,0.008238
76,0.000,80,0,0.9962,0.000,0.074059
77,0.000,80,0,0.9962,0.000,0.028490
78,0.000,80,0,0.9961,0.000,0.027699
79,0.000,80,0,0.9961,0.000,0.077381
80,0.000,80,0,0.9960,0.000,0.030226
81,0.000,80,0,0.9960,0.000,0.115688
82,0.000,80,0,0.9959,0.000,0.059293
83,0.000,80,0,0.9959,0.000,0.188331
84,0.000,80,0,0.9958,0.000,0.116900
85,0.000,80,0,0.9958,0.000,0.061092
86,0.000,80,0,0.9957,0.000,0.077026
87,0.000,80,0,0.9957,0.000,0.010357
88,0.000,80,0,0.9956,0.000,0.016067
89,0.000,80,0,0.9956,0.000,0.152919
90,0.000,80,0,0.9955,0.000,0.028621
91,0.000,80,0,0.9955,0.000,0.063515
92,0.000,80,0,0.9954,0.000,0.041391
93,0.134,77,1,0.9954,0.011,0.019269
94,0.000,80,0,0.9953,0.011,0.019616
95,0.000,80,0,0.9953,0.011,0.051101
96,0.000,80,0,0.9952,0.010,0.130448
97,0.000,80,0,0.9952,0.010,0.048314
98,0.000,80,0,0.9951,0.010,0.019212
99,0.000,80,0,0.9951,0.010,0.019590
100,0.000,80,0,0.9950,0.010,0.026714
101,0.000,80,0,0.9950,0.010,0.046213
102,0.000,80,0,0.9949,0.010,0.056595
103,0.000,80,0,0.9949,0.010,0.096095
104,0.000,80,0,0.9948,0.010,0.079587
105,0.000,80,0,0.9948,0.010,0.022918
106,0.000,80,0,0.9947,0.009,0.038910
107,0.000,80,0,0.9947,0.009,0.026510
108,0.000,80,0,0.9946,0.009,0.012173
109,0.000,80,0,0.9946,0.009,0.019079
110,0.000,80,0,0.9945,0.009,0.129293
111,0.000,80,0,0.9945,0.009,0.020315
112,0.000,80,0,0.9944,0.009,0.038670
113,0.000,80,0,0.9944,0.009,0.062818
114,0.000,80,0,0.9943,0.009,0.014860
